type,title,author,press,year,preview_link
近代史料,ceshi123,234,465,765,3453
近代史料,弹窗,youma,有吗,弹窗,111
党史与革命史料,八点,测试,八点测试,八点,
党史与革命史料,再次测试,再测试,在测试,再测一遍,测试测试
党史与革命史料,ceshi2,ceshi,测试,测试,测试测试
近代史料,测试,测试,ceshi,ceshi,测试
党史与革命史料,测试,测试,ceshi,ceshi,测试
党史与革命史料,"一大"前后：中国共产党第一次代表大会前后资料选编3册,中国社会科学院现代史研究室、中国革命博物馆党史研究室选编,人民出版社,1985,
党史与革命史料,1942-1949年美国对华外交档案全集英文扫描件,,,,
党史与革命史料,党内交通史料选编4册,中共中央办公厅机要交通局编,中共中央办公厅机要交通局,,
党史与革命史料,革命回忆录丛书21册,,人民出版社,1980始,
党史与革命史料,共产国际、联共（布）与中国革命档案资料丛书21册,党史研究室第一研究部,北京图书馆出版社,,
党史与革命史料,共和国故事丛书500册（暂缺6册）,,吉林出版集团,2011,
党史与革命史料,广东青年运动历史资料12册,,广东省档案馆广东青运史研究委员会,,
党史与革命史料,国际共产主义运动史文献史料选编5册,中国人民大学科学社会主义系,中国人民大学出版社,,
党史与革命史料,红藏·进步期刊总汇全428册,全网首发唯一全本·平台用户专属,湘潭大学出版社,2014,"通过网盘分享的文件：106、青年知识（全2册） 链接: https://pan.baidu.com/s/1QZ9ljlIpIyvMxpTDDMtJPA?pwd=0000 提取码: 0000"
党史与革命史料,红色档案·延安时期文献档案汇编60册,本书编委会,陕西人民出版社,,
党史与革命史料,红色延安口述·历史21册,任文主编,陕西师范大学出版社,2014,
党史与革命史料,红书简5册,,山西人民出版社,2001,
党史与革命史料,黄埔军校史料汇编22册,,广东教育出版社,2012,
党史与革命史料,建国以来重要文献选编20册,中共中央文献研究室,中国文献出版社,2011,
党史与革命史料,抗美援朝战争后勤经验总结资料选编21册,,金盾出版社,,
党史与革命史料,抗日战争期刊汇编40卷,,全国图书馆文献微缩复制中心,2006,
党史与革命史料,抗日战争时期八路军人员伤亡和财产损失档案选编5册,,中共党史出版社,2014,
党史与革命史料,抗日战争时期陕甘宁边区财政经济史料摘编9册,,长江文艺出版社,2016,
党史与革命史料,毛泽东读书集成（暂59卷）,中共文献研究会,中央文献出版社,2013,
党史与革命史料,美国对华情报解密档案8卷,沈志华杨奎松主编,东方出版中心,2009,
党史与革命史料,农业集体化重要文件汇编（1949-1981）2册,中华人民共和国国家农业委员会办公厅,中共中央党校出版社,1981,
党史与革命史料,亲历重大历史事件实录5卷,《中共党史资料》编辑部,党建读物出版社,2000,
党史与革命史料,十八大以来重要文献选编3卷,中共中央文献研究室,中央文献出版社,2014,
党史与革命史料,十二大以来重要文献选编3卷,中共中央文献研究室,人民出版社,1986,
党史与革命史料,十三大以来重要文献选编3卷,中共中央文献研究室,人民出版社,1993,
党史与革命史料,十五大以来重要文献选编3卷,中共中央文献研究室,人民出版社,2000,
党史与革命史料,十六大以来重要文献选编3卷,中共中央文献研究室,中央文献出版社,2006,
党史与革命史料,十七大以来重要文献选编3卷,中共中央文献研究室,中央文献出版社,2009,
党史与革命史料,苏联历史档案选编34卷,沈志华总主编,社会科学文献出版社,2002,
党史与革命史料,太行革命根据地史料丛书11册,,山西人民出版社,1989,
党史与革命史料,中国现代史资料选编5册,魏宏运,黑龙江人民出版社,1981,
党史与革命史料,文史资料存稿选编精选10册,全国政协文史资料委员会,中国文史出版社,2006,
党史与革命史料,文史资料选辑150册（合订本）,中国人民政治协商会议全国委员会文史和学习委员会,中国文史出版社,2011,
党史与革命史料,五四时期的社团4册,张允候等,三联书店,1979,
党史与革命史料,浙东抗战与敌后抗日根据地史料丛书9册,8,,,
党史与革命史料,中共党史风云人物传略丛书10册,,中共党史出版社,2016,
党史与革命史料,中共党史暨文献选萃9册,司马璐,自联出版社,,
党史与革命史料,中共党史教学参考资料27册,中国人民解放军国防大学党史党建政工教研室,党史出版社,,
党史与革命史料,中共党史口述实录5册,刘朋主编,中国古籍出版社,2010,
党史与革命史料,中共党史人物传89册,,中央文献出版社,,
党史与革命史料,中共党史资料76册,中共中央党史研究室,中共党史出版社,,
党史与革命史料,中共冀鲁豫边区党史资料选编11册,中共冀鲁豫边区党史工作组办公室,,,
党史与革命史料,中共中央文件选集（1921-1949）18册,中央档案馆,中共中央党校出版社,1989,
党史与革命史料,中共中央文件选集（1949年以后）50册,中央档案馆,中共中央党校出版社,,
党史与革命史料,中共中央西北局文件汇集（1941-1945）6册,中央档案馆陕西省档案馆,,1994,
党史与革命史料,中国工农红军第四方面军战史资料选编5册（非扫描）,,解放军出版社,1993,
党史与革命史料,中国工农红军长征史料丛书15册,,解放军出版社,2016,
党史与革命史料,中国共产党宣传工作文献选编4册,中共中央宣传部办公厅,学习出版社,1996,
党史与革命史料,中国共产党早期刊物汇编8册,,全国图书馆微缩复制中心,2005,
党史与革命史料,中国共产党组织史资料18册,中共中央组织部、中共中央党史研究室、中央档案馆,中共党史出版社,2000,
党史与革命史料,中国抗日战争军事史料丛书58册,,解放军出版社,2015,
党史与革命史料,中国抗日战争时期外交密档10册,,人民日报出版社,2017,
党史与革命史料,中国抗日战争史料丛刊全1037册,虞和平主编,大象出版社,2016,
党史与革命史料,中国青年运动历史资料19册,共青团中央青运史工作指导委员会,中国青年出版社,2002,
党史与革命史料,中国人民解放军后勤史资料选编抗日战争时期7册,,金盾出版社,,
党史与革命史料,中国人民解放军历史资料丛书100册,,解放军出版社,1992,
党史与革命史料,中国人民解放军历史资料图集8册,,长城出版社,2002,
党史与革命史料,中国人民解放军英雄模范名录5册,总政治部组织部编,,2002,
党史与革命史料,中国新方志·知识青年上山下乡史料辑录7册,金光耀、金大陆主编,上海书店出版社,2014,
党史与革命史料,中华人民共和国经济档案资料选编32册,中国社会科学院、中央档案馆,经济管理出版社,1994,
党史与革命史料,中华人民共和国日史·1949-1999·50册,,四川人民出版社,2003,
党史与革命史料,中华文史资料文库20册,全国政协文史资料委员会,中国文史出版社,1996,
党史与革命史料,抗日战争史资料选编2册,王念基,张辉主编,,
党史与革命史料,抗战时期的大西南丛书9册,,西南师范大学出版社,1994,
党史与革命史料,北京地区抗日运动史料汇编5辑,中共北京市委党史研究室编,中国文史出版社,,
党史与革命史料,太行党史资料汇编7册,山西省档案馆,山西人民出版社,1994,
党史与革命史料,国际共产主义运动历史文献64册,,中央编译出版社,2011,
党史与革命史料,东北区科学技术发展史资料8册,武衡主编,中国学术出版社,1986,
党史与革命史料,抗日战争时期解放区科学技术发展史资料10册,武衡主编,中国学术出版社,1984,
党史与革命史料,中国共产党历史资料丛书202册,,,,
党史与革命史料,中国现代革命史资料丛刊41辑,,人民出版社,,
党史与革命史料,中国共产党新闻工作文件汇编3册,中国社会科学院新闻研究室,新华出版社,1980,
党史与革命史料,博雅史学论丛·海外中国史研究12册,,北京大学出版社,,
党史与革命史料,中国工运史料29册,,,,
党史与革命史料,日军对华作战纪要丛书46册（台）,,,,
党史与革命史料,中国人民解放军后勤史资料选编·解放战争时期7册,,金盾出版社,,
党史与革命史料,中共中央抗日民族统一战线文件选编3册,中央统战部、中央档案馆,档案出版社,1984,
党史与革命史料,中共中央关于工人运动文件选编3册,中华全国总工会,档案出版社,1985,
党史与革命史料,中国工会历史文献5册,中国职工运动史研究室,工人出版社,1958,
党史与革命史料,中华全国总工会文件选编1978-1982·4册,中华全国总工会办公厅,工人出版社,,
党史与革命史料,陕甘宁史料268册,,,,
党史与革命史料,中国共产党新闻工作文件汇编3册,中国社会科学院新闻研究所,新华出版社,1980,
党史与革命史料,国史馆藏有关毛泽东档案2261件,,,,
党史与革命史料,国史馆藏有关中国共产党与中国政权档案3619件,,,,
党史与革命史料,国史馆藏有关新四军档案1190件,,,,
党史与革命史料,国史馆藏有关陈毅档案1292件,,,,
党史与革命史料,国史馆藏"石叟丛书"1995件,,,,
党史与革命史料,国史馆藏有关周恩来档案504件,,,,
党史与革命史料,国史馆藏有关八路军档案1055件,,,,
党史与革命史料,国史馆藏有关陈诚档案1200件,,,,
党史与革命史料,国史馆藏有关顾祝同档案3023件,,,,
党史与革命史料,国史馆藏有关晋察冀根据地档案39件,,,,
党史与革命史料,国史馆藏有关共产国际档案58件,,,,
党史与革命史料,国史馆藏有关共党活动档案450件,,,,
党史与革命史料,国史馆藏有关革命文献档案650件,,,,
党史与革命史料,国史馆藏有关李大钊档案45件,,,,
党史与革命史料,国史馆藏有关瞿秋白档案14件,,,,
党史与革命史料,国史馆藏有关边区政府档案74件,,,,
党史与革命史料,国史馆藏有关陈独秀档案89件,,,,
党史与革命史料,国史馆藏有关陕甘宁档案221件,,,,
党史与革命史料,陕甘宁边区政府文件选编14卷,陕西省档案馆,档案出版社,1990,
党史与革命史料,建国以来重要文献选编2011年版20卷,,中央文献出版社,2011,
党史与革命史料,复兴文库第一编1840~1921全38册,,,,
党史与革命史料,复兴文库第二编1921~1949全65册,,,,
党史与革命史料,复兴文库第三编1949~1978全92册,,,,
党史与革命史料,复兴文库全三编195册,,,,
党史与革命史料,晋察冀史料252册,,,,
党史与革命史料,抗日战争战时报告初编全123卷,杨奎松主编,上海三联书店,2015,
党史与革命史料,影像中国1911-1960·8册,中央通讯社编,中央通讯社,2014,
党史与革命史料,海外稀见抗战影像集6册,中国社会科学院近代史研究所,山西人民出版社,2015,
党史与革命史料,上海革命史资料与研究11册（缺第1册）,中共一大会址纪念馆、上海革命历史博物馆筹备处,上海古籍出版社,2012,
党史与革命史料,在风浪中前进：中国发展与改革编年纪事（977-1989）11册（缺第10）,房维中编,,,
党史与革命史料,中央苏区革命史调查资料汇编8册,吴永明主编,江西人民出版社,2023,
党史与革命史料,建党以来重要文献选编1921-1949·26册,中共中央文献研究室中央档案馆编,中央文献出版社,2011,
党史与革命史料,中国人民解放军文艺史料选编抗日战争时期4册,中国人民解放军文艺史料编辑部,解放军出版社,1988,
党史与革命史料,抗战档案3册,,中央文献出版社,2005,
党史与革命史料,相遇贵相知：中国共产党领导人与党外人士交朋友的故事5册,,辽宁教育出版社,1986,
党史与革命史料,抗日战争正面战场2册,中国第二历史档案馆,江苏古籍出版社,1987,
党史与革命史料,中国人民广播回忆录4册,北京广播学院新闻系编,广播出版社,1983,
党史与革命史料,中国共产党组织史大事纪实1921.7-1937.7·4册,,广东人民出版社,2001,
党史与革命史料,中华人民共和国对外关系文件集10册,,世界知识出版社,,
党史与革命史料,中国抗战大后方历史文化丛书107册,,重庆出版社,,
党史与革命史料,地下党史料100册,,,,
党史与革命史料,妇女运动史料228册,,,,
党史与革命史料,中国当代民间史料集刊23册,华东师范大学中国当代史研究中心,东方出版中心,2011,
党史与革命史料,抗日战争时期解放区科学技术发展史资料8卷,,中国学术出版社,1983,
党史与革命史料,中国现代史资料选辑11册,彭明主编,中国人民大学出版社,1987,
党史与革命史料,天津文史资料选辑111辑,,,,
党史与革命史料,福建革命历史文件汇集21册,,,,
党史与革命史料,广东党史资料47辑,,,,
党史与革命史料,湖北革命历史文件汇集12册,,,,
党史与革命史料,江苏革命史料选辑（缺第6）,,,,
党史与革命史料,江西党史资料45辑,,,,
党史与革命史料,辽宁党史资料4辑,,,,
党史与革命史料,上海革命历史文件汇集17册,,,,
党史与革命史料,上海史研究译丛13册,,,,
党史与革命史料,陕西党史资料丛书24册,,,,
党史与革命史料,中共四川党史资料丛书10册,,,,
党史与革命史料,中共冀鲁豫边区党史资料选编11册,,,,
党史与革命史料,广东青年运动历史资料12册,,,,
党史与革命史料,湖湘文库693册,,,,
党史与革命史料,浙东抗战与敌后抗日根据地史料丛书9卷,,,,
党史与革命史料,鄂豫皖苏区革命历史文件汇集6册,,,,
党史与革命史料,东北地区革命历史文件汇集70册,,,,
党史与革命史料,河北革命历史文件24册,,,,
党史与革命史料,抗战时期的大西南丛书9册,,,,
党史与革命史料,湖南革命历史文件汇集11册,,,,
党史与革命史料,北京地区抗日运动史料汇编5辑,,,,
党史与革命史料,太行党史资料汇编7册,,,,
党史与革命史料,东北区科学技术发展史资料10册,,,,
